code,name
SLC48A1 PE,SLC_48_A1
SLC49A3 PE,SLC_49_A1
FLVCR1 PE,SLC_49_A2
FLVCR2 PE,SLC_49_A3
SLC49A4 PE,SLC_49_A4
SLC5A1 PE,SLC_5_A1
SLC5A10 PE,SLC_5_A10
SLC5A11 PE,SLC_5_A11
SLC5A12 PE,SLC_5_A12
SLC5A2 PE,SLC_5_A2
SLC5A3 PE,SLC_5_A3
SLC5A4 PE,SLC_5_A4
SLC5A5 PE,SLC_5_A5
SLC5A6 PE,SLC_5_A6
SLC5A7 PE,SLC_5_A7
SLC5A8 PE,SLC_5_A8
SLC5A9 PE,SLC_5_A9
SLC50A1 PE,SLC_50_A1
SLC51A PE,SLC_51_A
SLC51B PE,SLC_51_B
SLC52A1 PE,SLC_52_A1
SLC52A2 PE,SLC_52_A2
SLC52A3 PE,SLC_52_A3
XPR1 PE,SLC_53_A1
MPC1 PE,SLC_54_A1
MPC2 PE,SLC_54_A2
MPC1L PE,SLC_54_A3
LETM1 PE,SLC_55_A1
LETM2 PE,SLC_55_A2
LETMD1 PE,SLC_55_A3
SFXN1 PE,SLC_56_A1
SFXN2 PE,SLC_56_A2
SFXN3 PE,SLC_56_A3
SFXN4 PE,SLC_56_A4
SFXN5 PE,SLC_56_A5
NIPA1 PE,SLC_57_A1
NIPA2 PE,SLC_57_A2
NIPAL1 PE,SLC_57_A3
NIPAL2 PE,SLC_57_A4
NIPAL3 PE,SLC_57_A5
NIPAL4 PE,SLC_57_A6
MAGT1 PE,SLC_58_A1
TUSC3 PE,SLC_58_A2
MFSD2A PE,SLC_59_A1
MFSD2B PE,SLC_59_A2
SLC6A1 PE,SLC_6_A1
SLC6A11 PE,SLC_6_A11
SLC6A12 PE,SLC_6_A12
SLC6A13 PE,SLC_6_A13
SLC6A14 PE,SLC_6_A14
SLC6A15 PE,SLC_6_A15
SLC6A16 PE,SLC_6_A16
SLC6A17 PE,SLC_6_A17
SLC6A18 PE,SLC_6_A18
SLC6A19 PE,SLC_6_A19
SLC6A2 PE,SLC_6_A2
SLC6A20 PE,SLC_6_A20
SLC6A3 PE,SLC_6_A3
SLC6A4 PE,SLC_6_A4
SLC6A5 PE,SLC_6_A5
SLC6A6 PE,SLC_6_A6
SLC6A7 PE,SLC_6_A7
SLC6A8 PE,SLC_6_A8
SLC6A9 PE,SLC_6_A9
MFSD4A PE,SLC_60_A1
MFSD4B PE,SLC_60_A2
MFSD5 PE,SLC_61_A1
ANKH PE,SLC_62_A1
SPNS1,SLC_63_A1
SPNS2,SLC_63_A2
SPNS3,SLC_63_A3
TMEM165 PE,SLC_64_A1
NPC1 PE,SLC_65_A1
NPCL1_HUMAN,SLC_65_A2
PQLC2 PE,SLC_66_A1
PQLC1 PE,SLC_66_A2
PQLC3 PE,SLC_66_A3
CTNS PE,SLC_66_A4
MPDU1 PE,SLC_66_A5
SLC7A1 PE,SLC_7_A1
SLC7A10 PE,SLC_7_A10
SLC7A11 PE,SLC_7_A11
SLC7A13 PE,SLC_7_A13
SLC7A14 PE,SLC_7_A14
SLC7A2 PE,SLC_7_A2
SLC7A3 PE,SLC_7_A3
SLC7A4 PE,SLC_7_A4
SLC7A5 PE,SLC_7_A5
SLC7A6 PE,SLC_7_A6
SLC7A7 PE,SLC_7_A7
SLC7A8 PE,SLC_7_A8
SLC7A9 PE,SLC_7_A9
SLC8A1 PE,SLC_8_A1
SLC8A2 PE,SLC_8_A2
SLC8A3 PE,SLC_8_A3
SLC8B1 PE,SLC_8_B1
SLC9A1 PE,SLC_9_A1
SLC9A2 PE,SLC_9_A2
SLC9A3 PE,SLC_9_A3
SLC9A4 PE,SLC_9_A4
SLC9A5 PE,SLC_9_A5
SLC9A6 PE,SLC_9_A6
SLC9A7 PE,SLC_9_A7
SLC9A8 PE,SLC_9_A8
SLC9A9 PE,SLC_9_A9
SLC9B1 PE,SLC_9_B1
SLC9B2 PE,SLC_9_B2
SLC9C1 PE,SLC_9_C1
SLC9C2 PE,SLC_9_C2
