code,name,family
SLC25A31 PE,SLC_25_A31,SLC_25
SLC25A32 PE,SLC_25_A32,SLC_25
SLC25A33 PE,SLC_25_A33,SLC_25
SLC25A34 PE,SLC_25_A34,SLC_25
SLC25A35 PE,SLC_25_A35,SLC_25
SLC25A36 PE,SLC_25_A36,SLC_25
SLC25A37 PE,SLC_25_A37,SLC_25
SLC25A38 PE,SLC_25_A38,SLC_25
SLC25A39 PE,SLC_25_A39,SLC_25
SLC25A4 PE,SLC_25_A4,SLC_25
SLC25A40 PE,SLC_25_A40,SLC_25
SLC25A41 PE,SLC_25_A41,SLC_25
SLC25A42 PE,SLC_25_A42,SLC_25
SLC25A43 PE,SLC_25_A43,SLC_25
SLC25A44 PE,SLC_25_A44,SLC_25
SLC25A45 PE,SLC_25_A45,SLC_25
SLC25A46 PE,SLC_25_A46,SLC_25
SLC25A47 PE,SLC_25_A47,SLC_25
SLC25A48 PE,SLC_25_A48,SLC_25
MTCH1 PE,SLC_25_A49,SLC_25
SLC25A5 PE,SLC_25_A5,SLC_25
MTCH2 PE,SLC_25_A50,SLC_25
SLC25A51 PE,SLC_25_A51,SLC_25
SLC25A52 PE,SLC_25_A52,SLC_25
SLC25A53 PE,SLC_25_A53,SLC_25
SLC25A6 PE,SLC_25_A6,SLC_25
UCP1 PE,SLC_25_A7,SLC_25
UCP2 PE,SLC_25_A8,SLC_25
UCP3 PE,SLC_25_A9,SLC_25
SLC26A1 PE,SLC_26_A1,SLC_26
SLC26A10 PE,SLC_26_A10,SLC_26
SLC26A11 PE,SLC_26_A11,SLC_26
SLC26A2 PE,SLC_26_A2,SLC_26
SLC26A3 PE,SLC_26_A3,SLC_26
SLC26A4 PE,SLC_26_A4,SLC_26
SLC26A5 PE,SLC_26_A5,SLC_26
SLC26A6 PE,SLC_26_A6,SLC_26
SLC26A7 PE,SLC_26_A7,SLC_26
SLC26A8 PE,SLC_26_A8,SLC_26
SLC26A9 PE,SLC_26_A9,SLC_26
SLC27A1 PE,SLC_27_A1,SLC_27
SLC27A2 PE,SLC_27_A2,SLC_27
SLC27A3 PE,SLC_27_A3,SLC_27
SLC27A4 PE,SLC_27_A4,SLC_27
SLC27A5 PE,SLC_27_A5,SLC_27
SLC27A6 PE,SLC_27_A6,SLC_27
SLC28A1 PE,SLC_28_A1,SLC_28
SLC28A2 PE,SLC_28_A2,SLC_28
