abbreviation	taxid_code	Species_name	Common_name	Order	Class	Taxonomic_Classification	Source
LepDec	7539	Leptinotarsa_decemlineata	Colorado potato beetle	Coleoptera	Insecta	Coleoptera	OrthoDB 10v1
LepDel	299467	Leptotrombidium_deliense	scrub typhus mite	Trombidiformes	Arachnida	Arachnida	i5k
LepSal	72036	Lepeophtheirus_salmonis	salmon louse	Siphonostomatoida	Crustacea	Siphonostomatoida	OrthoDB 10v1
LimLun	1218281	Limnephilus_lunatus		Trichoptera	Insecta	Trichoptera	OrthoDB 10v1
LimPol	6850	Limulus_polyphemus	Atlantic horseshoe crab	Xiphosura	Merostomata	Xiphosura	OrthoDB 10v1
LinHum	83485	Linepithema_humile	Argentine ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
LocMig	7004	Locusta_migratoria	migratory locust	Orthoptera	Insecta	Orthoptera	OrthoDB 10v1
LucCup	7375	Lucilia_cuprina	Australian sheep blowfly	Diptera	Insecta	Diptera	OrthoDB 10v1
LutLon	7200	Lutzomyia_longipalpis	sandfly	Diptera	Insecta	Diptera	OrthoDB 10v1
MacCin	535359	Macrocentrus_cingulum		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
ManSex	7130	Manduca_sexta	tobacco hornworm	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1
MayDes	39758	Mayetiola_destructor	Hessian fly	Diptera	Insecta	Diptera	OrthoDB 10v1
MedExt	614211	Medauroidea_extradentata	Stick bug	Phasmatodea	Insecta	Phasmatodea	i5k
MegRot	143995	Megachile_rotundata	alfalfa leafcutting bee	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
MelCin	113334	Melitaea_cinxia	Glanville fritillary	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1
MelQua	166423	Melipona_quadrifasciata		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
MenMol	1155016	Mengenilla_moldrzyki	i5k	Strepsiptera	Insecta	Strepsiptera	OrthoDB 10v1
MicDem	69319	Microplitis_demolitor		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
MonPha	307658	Monomorium_pharaonis	pharaoh ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
MusDom	7370	Musca_domestica	house fly	Diptera	Insecta	Diptera	OrthoDB 10v1
MyzCer	93721	Myzus_cerasi	Black Cherry Aphid	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1
MyzPer	13164	Myzus_persicae	green peach aphid	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1
NasVit	7425	Nasonia_vitripennis	jewel wasp	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
NeoLec	441921	Neodiprion_lecontei	red+AC0heade//0- pine sawfly	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
NezVir	85310	Nezara_viridula	southern green stink bug	Hemiptera	Insecta	Hemiptera	Denecke et. al 2020
NicVes	110193	Nicrophorus_vespilloides		Coleoptera	Insecta	Coleoptera	OrthoDB 10v1
